codigo_ocorrencia;codigo_ocorrencia1;codigo_ocorrencia2;codigo_ocorrencia3;codigo_ocorrencia4;ocorrencia_classificacao;ocorrencia_cidade;ocorrencia_uf;ocorrencia_pais;ocorrencia_dia;ocorrencia_hora;investigacao_aeronave_liberada;total_recomendacoes;total_aeronaves_envolvidas;ocorrencia_saida_pista
52242;52242;52242;52242;52242;INCIDENTE;PORTO ALEGRE;RS;BRASIL;05/01/2012;20:27:00;***;0;1;NÃO
45331;45331;45331;45331;45331;ACIDENTE;GUARULHOS;SP;BRASIL;06/01/2012;13:44:00;SIM;3;1;NÃO
45333;45333;45333;45333;45333;ACIDENTE;VIAMÃO;RS;BRASIL;06/01/2012;13:00:00;NULL;0;1;NÃO
45401;45401;45401;45401;45401;ACIDENTE;SÃO SEBASTIÃO;SP;BRASIL;06/01/2012;17:00:00;***;0;1;NÃO
45407;45407;45407;45407;45407;ACIDENTE;SÃO SEPÉ;RS;BRASIL;06/01/2012;16:30:00;SIM;0;1;NÃO
52243;52243;52243;52243;52243;INCIDENTE;UBATUBA;SP;BRASIL;06/01/2012;14:30:00;***;0;1;NÃO
50713;50713;50713;50713;50713;INCIDENTE GRAVE;CAMPINAS;SP;BRASIL;07/01/2012;18:15:00;SIM;0;1;NÃO
45334;45334;45334;45334;45334;INCIDENTE;BELÉM;PA;BRASIL;08/01/2012;19:12:00;***;0;1;NÃO
45391;45391;45391;45391;45391;ACIDENTE;CONCEIÇÃO DAS ALAGOAS;MG;BRASIL;08/01/2012;16:00:00;***;0;1;NÃO
52244;52244;52244;52244;52244;INCIDENTE;UBERLÂNDIA;MG;BRASIL;08/01/2012;22:13:00;***;0;1;NÃO
45332;45332;45332;45332;45332;ACIDENTE;VIAMÃO;RS;BRASIL;09/01/2012;13:30:00;SIM;0;1;NÃO
52245;52245;52245;52245;52245;INCIDENTE;PORTO ALEGRE;RS;BRASIL;09/01/2012;13:36:00;***;0;1;NÃO
45396;45396;45396;45396;45396;INCIDENTE GRAVE;MARABÁ;PA;BRASIL;11/01/2012;11:21:00;SIM;0;1;NÃO
45408;45408;45408;45408;45408;ACIDENTE;ELDORADO;SP;BRASIL;11/01/2012;13:45:00;SIM;1;1;NÃO
45447;45447;45447;45447;45447;INCIDENTE;RIO BRANCO;AC;BRASIL;13/01/2012;18:15:00;SIM;0;1;NÃO
45409;45409;45409;45409;45409;ACIDENTE;CÁCERES;MT;BRASIL;14/01/2012;10:00:00;***;0;1;NÃO
45693;45693;45693;45693;45693;INCIDENTE;MACAÉ;RJ;BRASIL;14/01/2012;10:30:00;***;0;1;NÃO
52246;52246;52246;52246;52246;INCIDENTE;BRASÍLIA;DF;BRASIL;16/01/2012;16:47:00;***;0;1;NÃO
50714;50714;50714;50714;50714;INCIDENTE GRAVE;CAMOCIM;CE;BRASIL;17/01/2012;18:25:00;SIM;0;1;NÃO
45399;45399;45399;45399;45399;INCIDENTE GRAVE;MUANÁ;PA;BRASIL;18/01/2012;17:35:00;SIM;0;1;NÃO
52247;52247;52247;52247;52247;INCIDENTE;BELO HORIZONTE;MG;BRASIL;18/01/2012;13:10:00;***;0;1;NÃO
45392;45392;45392;45392;45392;ACIDENTE;BRASÍLIA;DF;BRASIL;19/01/2012;21:30:00;SIM;2;1;NÃO
45390;45390;45390;45390;45390;ACIDENTE;CACHOEIRA DOURADA;GO;BRASIL;20/01/2012;21:00:00;SIM;0;1;NÃO
45405;45405;45405;45405;45405;INCIDENTE;CUIABÁ;MT;BRASIL;20/01/2012;08:00:00;***;0;1;NÃO
45582;45582;45582;45582;45582;INCIDENTE GRAVE;RONDONÓPOLIS;MT;BRASIL;20/01/2012;17:00:00;SIM;0;1;SIM
45400;45400;45400;45400;45400;INCIDENTE GRAVE;BRASÍLIA;DF;BRASIL;21/01/2012;14:50:00;SIM;4;1;NÃO
45410;45410;45410;45410;45410;ACIDENTE;BRAGANÇA PAULISTA;SP;BRASIL;21/01/2012;23:30:00;***;0;1;SIM
52241;52241;52241;52241;52241;INCIDENTE GRAVE;UBERLÂNDIA;MG;BRASIL;21/01/2012;20:45:00;***;0;1;NÃO
52248;52248;52248;52248;52248;INCIDENTE;SÃO PAULO;SP;BRASIL;21/01/2012;11:15:00;***;0;1;NÃO
45393;45393;45393;45393;45393;ACIDENTE;RIO DE JANEIRO;RJ;BRASIL;22/01/2012;20:25:00;SIM;0;1;SIM
45397;45397;45397;45397;45397;INCIDENTE GRAVE;RIO DE JANEIRO;RJ;BRASIL;22/01/2012;19:05:00;SIM;2;1;NÃO
52051;52051;52051;52051;52051;INCIDENTE;RECIFE;PE;BRASIL;22/01/2012;23:00:00;***;0;1;NÃO
45412;45412;45412;45412;45412;ACIDENTE;TASSO FRAGOSO;MA;BRASIL;23/01/2012;09:33:00;SIM;2;1;NÃO
45413;45413;45413;45413;45413;ACIDENTE;ITAPURANGA;GO;BRASIL;25/01/2012;22:00:00;***;0;1;NÃO
52053;52053;52053;52053;52053;INCIDENTE;VITÓRIA;ES;BRASIL;25/01/2012;13:36:00;***;0;1;NÃO
52054;52054;52054;52054;52054;INCIDENTE;SÃO PAULO;SP;BRASIL;25/01/2012;23:00:00;***;0;1;NÃO
52055;52055;52055;52055;52055;INCIDENTE;RIBEIRÃO PRETO;SP;BRASIL;25/01/2012;09:30:00;***;0;1;NÃO
45802;45802;45802;45802;45802;INCIDENTE;BELO HORIZONTE;MG;BRASIL;26/01/2012;17:00:00;***;0;1;NÃO
45667;45667;45667;45667;45667;INCIDENTE;JOINVILLE;SC;BRASIL;27/01/2012;14:45:00;***;0;1;NÃO
45579;45579;45579;45579;45579;ACIDENTE;CAMPOS LINDOS;TO;BRASIL;28/01/2012;18:35:00;SIM;0;1;NÃO
45415;45415;45415;45415;45415;ACIDENTE;RIO DE JANEIRO;RJ;BRASIL;30/01/2012;13:55:00;SIM;0;1;NÃO
45719;45719;45719;45719;45719;INCIDENTE;PELOTAS;RS;BRASIL;30/01/2012;21:30:00;***;0;1;NÃO
45414;45414;45414;45414;45414;ACIDENTE;NOVA BRASILÂNDIA;MT;BRASIL;31/01/2012;18:00:00;SIM;0;1;NÃO
45417;45417;45417;45417;45417;ACIDENTE;VÁRZEA GRANDE;MT;BRASIL;31/01/2012;14:15:00;SIM;0;1;NÃO
45668;45668;45668;45668;45668;INCIDENTE;CAMPOS DOS GOYTACAZES;RJ;BRASIL;01/02/2012;12:30:00;***;0;1;NÃO
45682;45682;45682;45682;45682;INCIDENTE;MACAÉ;RJ;BRASIL;01/02/2012;13:50:00;***;0;1;NÃO
