codigo_ocorrencia,codigo_ocorrencia1,codigo_ocorrencia2,codigo_ocorrencia3,codigo_ocorrencia4,ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,investigacao_aeronave_liberada,investigacao_status,total_recomendacoes,total_aeronaves_envolvidas,ocorrencia_saida_pista
80436,80436,80436,80436,80436,INCIDENTE,PALMAS,TO,SBPJ,09/12/2021,22:10:00,SIM,FINALIZADA,0,1,NÃO
53472,53472,53472,53472,53472,ACIDENTE,COLINAS DO TOCANTINS,TO,****,28/07/2015,21:05:00,***,NULL,0,1,NÃO
78800,78800,78800,78800,78800,ACIDENTE,PALMAS,TO,SDNB,20/08/2017,20:30:00,SIM,FINALIZADA,0,1,NÃO
79690,79690,79690,79690,79690,INCIDENTE GRAVE,PORTO NACIONAL,TO,SWEJ,24/11/2020,20:00:00,SIM,FINALIZADA,0,1,NÃO
50531,50531,50531,50531,50531,INCIDENTE,GURUPI,TO,****,08/12/2013,20:00:00,***,FINALIZADA,0,1,NÃO
79636,79636,79636,79636,79636,ACIDENTE,PALMAS,TO,****,29/10/2020,20:00:00,SIM,ATIVA,0,1,NÃO
53233,53233,53233,53233,53233,INCIDENTE GRAVE,PALMAS,TO,SBPJ,15/04/2015,19:31:00,SIM,FINALIZADA,0,1,SIM
45731,45731,45731,45731,45731,ACIDENTE,PALMAS,TO,****,31/03/2012,19:21:00,SIM,FINALIZADA,0,1,NÃO
50952,50952,50952,50952,50952,ACIDENTE,ARAGUAÍNA,TO,SWGN,19/02/2014,19:21:00,***,FINALIZADA,0,1,NÃO
60881,60881,60881,60881,60881,ACIDENTE,CRISTALÂNDIA,TO,****,13/03/2016,19:00:00,SIM,FINALIZADA,0,1,SIM
80448,80448,80448,80448,80448,INCIDENTE GRAVE,FORMOSO DO ARAGUAIA,TO,*****,18/12/2021,19:00:00,SIM,FINALIZADA,0,1,SIM
49118,49118,49118,49118,49118,ACIDENTE,PIUM,TO,****,25/07/2013,18:50:00,SIM,FINALIZADA,0,1,NÃO
45579,45579,45579,45579,45579,ACIDENTE,CAMPOS LINDOS,TO,****,28/01/2012,18:35:00,SIM,FINALIZADA,0,1,NÃO
79757,79757,79757,79757,79757,INCIDENTE GRAVE,LAGOA DA CONFUSÃO,TO,****,30/12/2020,18:30:00,SIM,FINALIZADA,0,1,NÃO
80419,80419,80419,80419,80419,ACIDENTE,LAGOA DA CONFUSÃO,TO,****,05/12/2021,17:55:00,SIM,ATIVA,0,1,NÃO
53634,53634,53634,53634,53634,INCIDENTE,PALMAS,TO,SBPJ,02/12/2015,17:45:00,***,FINALIZADA,0,1,NÃO
51031,51031,51031,51031,51031,INCIDENTE GRAVE,MIRANORTE,TO,****,09/04/2014,17:30:00,***,FINALIZADA,0,1,NÃO
46625,46625,46625,46625,46625,INCIDENTE,PALMAS,TO,SBPJ,21/10/2012,16:40:00,***,FINALIZADA,0,1,NÃO
60601,60601,60601,60601,60601,INCIDENTE,PALMAS,TO,SBPJ,01/12/2015,16:05:00,NULL,FINALIZADA,0,1,NÃO
79019,79019,79019,79019,79019,INCIDENTE,PALMAS,TO,SBPJ,27/11/2019,14:20:00,NULL,FINALIZADA,0,1,NÃO
79094,79094,79094,79094,79094,INCIDENTE,PALMAS,TO,SBPJ,01/02/2020,14:00:00,SIM,FINALIZADA,0,1,NÃO
77819,77819,77819,77819,77819,ACIDENTE,RECURSOLÂNDIA,TO,****,12/04/2018,14:00:00,SIM,FINALIZADA,1,1,SIM
47901,47901,47901,47901,47901,INCIDENTE GRAVE,PALMAS,TO,SBPJ,24/04/2013,13:52:00,SIM,FINALIZADA,1,1,NÃO
66873,66873,66873,66873,66873,INCIDENTE,PALMAS,TO,SBPJ,10/06/2017,13:34:00,SIM,FINALIZADA,0,1,NÃO
50804,50804,50804,50804,50804,ACIDENTE,PALMAS,TO,****,09/02/2014,13:30:00,***,FINALIZADA,0,1,NÃO
77911,77911,77911,77911,77911,INCIDENTE GRAVE,FIGUEIRÓPOLIS,TO,****,22/05/2018,13:30:00,SIM,NULL,0,1,SIM
79301,79301,79301,79301,79301,ACIDENTE,BREJINHO DE NAZARÉ,TO,****,18/04/2020,13:30:00,SIM,FINALIZADA,1,1,NÃO
79484,79484,79484,79484,79484,ACIDENTE,GURUPI,TO,SWGI,08/08/2020,13:20:00,SIM,ATIVA,0,1,NÃO
46436,46436,46436,46436,46436,ACIDENTE,ARAGUAÍNA,TO,****,22/08/2012,13:00:00,***,FINALIZADA,0,1,NÃO
60609,60609,60609,60609,60609,INCIDENTE GRAVE,ARAGUAÍNA,TO,SWGN,15/12/2015,13:00:00,NULL,FINALIZADA,0,1,NÃO
80383,80383,80383,80383,80383,ACIDENTE,LAGOA DA CONFUSÃO,TO,****,11/11/2021,12:40:00,SIM,ATIVA,0,1,NÃO
46629,46629,46629,46629,46629,INCIDENTE,ALIANÇA DO TOCANTINS,TO,****,21/11/2012,12:00:00,***,FINALIZADA,0,1,NÃO
50983,50983,50983,50983,50983,ACIDENTE,ARAGUAÍNA,TO,****,26/02/2014,11:15:00,***,FINALIZADA,0,1,NÃO
79230,79230,79230,79230,79230,INCIDENTE,ARAGUAÍNA,TO,SDVO,08/03/2020,11:00:00,SIM,FINALIZADA,0,1,SIM
77851,77851,77851,77851,77851,INCIDENTE GRAVE,PORTO NACIONAL,TO,SWEJ,28/04/2018,11:00:00,SIM,NULL,0,1,NÃO
52622,52622,52622,52622,52622,INCIDENTE,ARAGUAÍNA,TO,SWGN,03/10/2014,11:00:00,***,FINALIZADA,0,1,NÃO
45671,45671,45671,45671,45671,INCIDENTE,PALMAS,TO,SBPJ,07/03/2012,10:50:00,***,FINALIZADA,0,1,NÃO
60790,60790,60790,60790,60790,ACIDENTE,LAGOA DA CONFUSÃO,TO,****,05/02/2016,10:30:00,SIM,FINALIZADA,0,1,NÃO
60793,60793,60793,60793,60793,INCIDENTE GRAVE,LAGOA DA CONFUSÃO,TO,****,19/02/2016,10:30:00,NULL,FINALIZADA,2,1,SIM
79840,79840,79840,79840,79840,ACIDENTE,PORTO NACIONAL,TO,****,24/01/2021,10:30:00,SIM,ATIVA,0,1,NÃO
66282,66282,66282,66282,66282,ACIDENTE,MONTE DO CARMO,TO,****,17/01/2017,10:00:00,SIM,FINALIZADA,0,1,NÃO
66903,66903,66903,66903,66903,INCIDENTE,PALMAS,TO,####,13/06/2017,09:29:00,SIM,FINALIZADA,0,1,NÃO
77203,77203,77203,77203,77203,INCIDENTE,ARAGUAÍNA,TO,SWGN,28/12/2017,06:30:00,SIM,FINALIZADA,0,1,NÃO
51454,51454,51454,51454,51454,INCIDENTE,PALMAS,TO,****,22/05/2014,04:13:00,***,FINALIZADA,0,1,NÃO
46640,46640,46640,46640,46640,INCIDENTE,PALMAS,TO,SBPJ,01/12/2012,04:00:00,***,FINALIZADA,0,1,NÃO
60659,60659,60659,60659,60659,INCIDENTE,ARAGUAÍNA,TO,SWGN,22/01/2016,03:44:00,SIM,FINALIZADA,0,1,NÃO
